No.,Time,Length,Device IP,Day
1,0 days 00:00:00,195,192.168.239.12,1
2,0 days 00:00:00.000000224,112,192.168.239.67,1
3,0 days 00:00:00.000273790,107,192.168.239.67,1
4,0 days 00:00:00.000356355,102,192.168.239.67,1
5,0 days 00:00:00.058864812,87,192.168.239.7,1
6,0 days 00:00:00.204449602,103,192.168.239.7,1
7,0 days 00:00:01.081791062,229,192.168.239.67,1
8,0 days 00:00:01.081872403,158,192.168.239.7,1
9,0 days 00:00:01.081916492,444,192.168.239.7,1
10,0 days 00:00:01.083393493,125,192.168.239.67,1
11,0 days 00:00:01.083408705,125,192.168.239.67,1
12,0 days 00:00:01.083413121,125,192.168.239.7,1
13,0 days 00:00:01.171444499,86,192.168.239.95,1
14,0 days 00:00:01.211287393,86,192.168.239.95,1
15,0 days 00:00:01.302935646,181,192.168.239.7,1
16,0 days 00:00:01.302935982,1294,192.168.239.7,1
17,0 days 00:00:01.302947182,86,192.168.239.95,1
18,0 days 00:00:01.302947424,86,192.168.239.95,1
19,0 days 00:00:01.302947470,125,192.168.239.67,1
20,0 days 00:00:01.303120217,86,192.168.239.95,1
21,0 days 00:00:01.303911904,425,192.168.239.67,1
22,0 days 00:00:01.303912105,117,192.168.239.67,1
23,0 days 00:00:01.303912150,125,192.168.239.7,1
24,0 days 00:00:01.304558668,86,192.168.239.95,1
25,0 days 00:00:01.305192919,121,192.168.239.7,1
26,0 days 00:00:01.305221353,125,192.168.239.67,1
27,0 days 00:00:01.306045478,86,192.168.239.95,1
28,0 days 00:00:01.306045664,125,192.168.239.67,1
29,0 days 00:00:01.324153908,86,192.168.239.95,1
30,0 days 00:00:01.326105137,125,192.168.239.7,1
31,0 days 00:00:01.346404473,86,192.168.239.95,1
32,0 days 00:00:01.346430530,86,192.168.239.95,1
33,0 days 00:00:01.366494002,86,192.168.239.95,1
34,0 days 00:00:01.376112027,86,192.168.239.95,1
35,0 days 00:00:01.451687043,148,192.168.239.7,1
36,0 days 00:00:01.451715049,86,192.168.239.95,1
37,0 days 00:00:01.454039349,185,192.168.239.67,1
38,0 days 00:00:01.454039480,125,192.168.239.7,1
39,0 days 00:00:01.454060271,86,192.168.239.95,1
40,0 days 00:00:01.454074614,86,192.168.239.95,1
41,0 days 00:00:01.454574273,121,192.168.239.67,1
42,0 days 00:00:01.455615039,125,192.168.239.67,1
43,0 days 00:00:01.493651921,86,192.168.239.95,1
44,0 days 00:00:01.496041184,86,192.168.239.95,1
45,0 days 00:00:01.850346445,155,192.168.239.7,1
46,0 days 00:00:01.850346683,1354,192.168.239.67,1
47,0 days 00:00:01.850388070,86,192.168.239.95,1
48,0 days 00:00:01.850415742,86,192.168.239.95,1
49,0 days 00:00:01.850494519,1354,192.168.239.67,1
50,0 days 00:00:01.850494599,2622,192.168.239.7,1
51,0 days 00:00:01.850494666,1367,192.168.239.67,1
52,0 days 00:00:01.850494712,99,192.168.239.95,1
53,0 days 00:00:01.850503516,86,192.168.239.95,1
54,0 days 00:00:01.850512476,86,192.168.239.95,1
55,0 days 00:00:01.850517253,86,192.168.239.95,1
56,0 days 00:00:01.850523441,98,192.168.239.95,1
57,0 days 00:00:01.852601552,121,192.168.239.67,1
58,0 days 00:00:01.852630189,125,192.168.239.7,1
59,0 days 00:00:01.913920447,86,192.168.239.95,1
60,0 days 00:00:01.924275064,86,192.168.239.95,1
61,0 days 00:00:02.469885884,156,192.168.239.67,1
62,0 days 00:00:02.516911428,86,192.168.239.95,1
63,0 days 00:00:02.867135987,199,192.168.239.12,1
64,0 days 00:00:02.867136136,111,192.168.239.7,1
65,0 days 00:00:02.867212646,176,192.168.239.67,1
66,0 days 00:00:02.867212752,117,192.168.239.67,1
67,0 days 00:00:02.867212771,125,192.168.239.67,1
68,0 days 00:00:02.867312110,86,192.168.239.95,1
69,0 days 00:00:02.869190874,125,192.168.239.7,1
70,0 days 00:00:02.869568840,151,192.168.239.7,1
71,0 days 00:00:02.869857703,119,192.168.239.67,1
72,0 days 00:00:02.880814303,95,192.168.239.67,1
73,0 days 00:00:02.924011751,86,192.168.239.95,1
74,0 days 00:00:02.924011910,86,192.168.239.95,1
75,0 days 00:00:02.928927588,86,192.168.239.95,1
76,0 days 00:00:03.481601666,174,192.168.239.7,1
77,0 days 00:00:03.481601807,117,192.168.239.7,1
78,0 days 00:00:03.481601827,125,192.168.239.67,1
79,0 days 00:00:03.481682432,86,192.168.239.95,1
80,0 days 00:00:03.482809537,125,192.168.239.67,1
81,0 days 00:00:03.546625678,86,192.168.239.95,1
82,0 days 00:00:05.939171137,192,192.168.239.12,1
83,0 days 00:00:05.939171384,111,192.168.239.7,1
84,0 days 00:00:05.952579675,95,192.168.239.7,1
85,0 days 00:00:06.070507456,86,192.168.239.95,1
86,0 days 00:00:06.112288029,86,192.168.239.95,1
87,0 days 00:00:06.758410812,110,192.168.239.7,1
88,0 days 00:00:06.758628275,114,192.168.239.67,1
89,0 days 00:00:06.798978080,86,192.168.239.95,1
90,0 days 00:00:07.065720909,203,192.168.239.12,1
91,0 days 00:00:07.080915224,95,192.168.239.67,1
92,0 days 00:00:08.086493844,86,192.168.239.95,1
93,0 days 00:00:08.086518807,86,192.168.239.95,1
94,0 days 00:00:08.117080972,110,192.168.239.67,1
95,0 days 00:00:08.117235439,114,192.168.239.67,1
96,0 days 00:00:08.136585127,86,192.168.239.95,1
97,0 days 00:00:08.147054558,86,192.168.239.95,1
98,0 days 00:00:08.294025840,86,192.168.239.95,1
99,0 days 00:00:09.011273287,188,192.168.239.12,1
100,0 days 00:00:09.011273667,110,192.168.239.67,1
101,0 days 00:00:09.025172571,95,192.168.239.7,1
102,0 days 00:00:11.878363597,197,192.168.239.12,1
103,0 days 00:00:11.878363861,111,192.168.239.7,1
104,0 days 00:00:11.888957920,95,192.168.239.7,1
105,0 days 00:00:12.469202547,156,192.168.239.7,1
106,0 days 00:00:12.513868287,86,192.168.239.95,1
107,0 days 00:00:13.107227678,176,192.168.239.67,1
108,0 days 00:00:13.107228032,117,192.168.239.7,1
109,0 days 00:00:13.107228078,125,192.168.239.7,1
110,0 days 00:00:13.107350761,86,192.168.239.95,1
111,0 days 00:00:13.109690850,125,192.168.239.7,1
112,0 days 00:00:13.110296784,151,192.168.239.67,1
113,0 days 00:00:13.110447268,119,192.168.239.67,1
114,0 days 00:00:13.132759081,111,192.168.239.67,1
115,0 days 00:00:13.133596213,115,192.168.239.7,1
116,0 days 00:00:13.162111289,86,192.168.239.95,1
117,0 days 00:00:13.167472947,86,192.168.239.95,1
118,0 days 00:00:13.171317891,86,192.168.239.95,1
119,0 days 00:00:13.206792577,86,192.168.239.95,1
120,0 days 00:00:13.721879319,190,192.168.239.67,1
121,0 days 00:00:13.723915351,125,192.168.239.7,1
122,0 days 00:00:13.926184593,86,192.168.239.95,1
123,0 days 00:00:14.233852373,140,192.168.239.67,1
124,0 days 00:00:14.234956877,144,192.168.239.67,1
125,0 days 00:00:14.316376634,86,192.168.239.95,1
126,0 days 00:00:14.950467464,182,192.168.239.12,1
127,0 days 00:00:14.950467740,112,192.168.239.67,1
128,0 days 00:00:14.960436118,95,192.168.239.7,1
129,0 days 00:00:16.422746554,335,192.168.239.67,1
130,0 days 00:00:16.999889145,86,192.168.239.95,1
131,0 days 00:00:16.999889418,358,192.168.239.67,1
132,0 days 00:00:16.999913630,86,192.168.239.95,1
133,0 days 00:00:18.022675015,187,192.168.239.12,1
134,0 days 00:00:18.022675138,96,192.168.239.67,1
135,0 days 00:00:18.022675163,128,192.168.239.67,1
136,0 days 00:00:18.025721785,331,192.168.239.12,1
137,0 days 00:00:18.169042045,324,192.168.239.12,1
138,0 days 00:00:18.170770531,90,192.168.239.7,1
139,0 days 00:00:18.184987623,95,192.168.239.7,1
140,0 days 00:00:18.352578296,91,192.168.239.7,1
141,0 days 00:00:18.354603527,88,192.168.239.7,1
142,0 days 00:00:18.390131841,90,192.168.239.67,1
143,0 days 00:00:18.398101716,261,192.168.239.12,1
144,0 days 00:00:18.398191265,98,192.168.239.7,1
145,0 days 00:00:18.475720866,87,192.168.239.7,1
146,0 days 00:00:20.274811668,103,192.168.239.67,1
147,0 days 00:00:20.882438225,86,192.168.239.95,1
148,0 days 00:00:20.927717720,683,192.168.239.12,1
149,0 days 00:00:20.928300450,114,192.168.239.67,1
150,0 days 00:00:20.944677108,95,192.168.239.7,1
151,0 days 00:00:20.972461942,86,192.168.239.95,1
152,0 days 00:00:21.083802693,82,192.168.239.7,1
153,0 days 00:00:21.083853413,82,192.168.239.67,1
154,0 days 00:00:21.142943068,127,192.168.239.7,1
155,0 days 00:00:21.203374403,139,192.168.239.67,1
156,0 days 00:00:21.203886358,94,192.168.239.95,1
157,0 days 00:00:21.252991026,94,192.168.239.95,1
158,0 days 00:00:21.253017657,86,192.168.239.95,1
159,0 days 00:00:21.253291147,677,192.168.239.7,1
160,0 days 00:00:21.504420339,86,192.168.239.95,1
161,0 days 00:00:21.504420714,185,192.168.239.7,1
162,0 days 00:00:21.504464543,86,192.168.239.95,1
163,0 days 00:00:21.504928065,711,192.168.239.7,1
164,0 days 00:00:21.581866452,1354,192.168.239.67,1
165,0 days 00:00:21.582857317,1354,192.168.239.95,1
166,0 days 00:00:21.582986321,86,192.168.239.95,1
167,0 days 00:00:21.584427448,1646,192.168.239.95,1
168,0 days 00:00:21.584552233,86,192.168.239.95,1
169,0 days 00:00:21.586527150,1354,192.168.239.95,1
170,0 days 00:00:21.588364974,1354,192.168.239.95,1
171,0 days 00:00:21.588550224,86,192.168.239.95,1
172,0 days 00:00:21.589117230,847,192.168.239.67,1
173,0 days 00:00:21.592459025,160,192.168.239.7,1
174,0 days 00:00:21.592662970,184,192.168.239.7,1
175,0 days 00:00:21.592817404,382,192.168.239.67,1
176,0 days 00:00:21.637884796,341,192.168.239.7,1
177,0 days 00:00:21.637885175,341,192.168.239.67,1
178,0 days 00:00:21.637885222,213,192.168.239.7,1
179,0 days 00:00:21.638088996,86,192.168.239.95,1
180,0 days 00:00:21.638253334,117,192.168.239.7,1
181,0 days 00:00:21.641549816,429,192.168.239.67,1
182,0 days 00:00:21.642098531,121,192.168.239.7,1
183,0 days 00:00:21.681888391,86,192.168.239.95,1
184,0 days 00:00:21.694665574,97,192.168.239.67,1
185,0 days 00:00:21.694665716,96,192.168.239.7,1
186,0 days 00:00:21.694665733,253,192.168.239.12,1
187,0 days 00:00:21.704581912,95,192.168.239.67,1
188,0 days 00:00:22.418538890,86,192.168.239.95,1
189,0 days 00:00:22.418570591,86,192.168.239.95,1
190,0 days 00:00:22.442489256,86,192.168.239.95,1
191,0 days 00:00:22.442514688,86,192.168.239.95,1
192,0 days 00:00:22.470746525,156,192.168.239.7,1
193,0 days 00:00:22.470792579,86,192.168.239.95,1
194,0 days 00:00:22.477664355,86,192.168.239.95,1
195,0 days 00:00:22.477786104,86,192.168.239.95,1
