Time,Device,IP Address,Length
17:00:00,ipad,192.168.239.7,1905
17:00:08,ipad,192.168.239.7,2484
17:00:12,ipad,192.168.239.7,3272
17:00:14,ipad,192.168.239.7,2252
17:00:17,ipad,192.168.239.7,1391
17:00:22,ipad,192.168.239.7,585
17:00:26,ipad,192.168.239.7,3355
17:00:30,ipad,192.168.239.7,2960
17:00:32,ipad,192.168.239.7,2256
17:00:34,ipad,192.168.239.7,890
17:00:40,ipad,192.168.239.7,3888
17:00:41,ipad,192.168.239.7,986
17:00:52,ipad,192.168.239.7,1531
17:00:56,ipad,192.168.239.7,3183
17:01:00,ipad,192.168.239.7,1187
17:01:05,ipad,192.168.239.7,2665
17:01:06,ipad,192.168.239.7,3618
17:01:16,ipad,192.168.239.7,1122
17:01:25,ipad,192.168.239.7,3911
17:01:29,ipad,192.168.239.7,3814
17:01:32,ipad,192.168.239.7,3252
17:01:41,ipad,192.168.239.7,3841
17:01:43,ipad,192.168.239.7,2816
17:01:45,ipad,192.168.239.7,2027
17:01:46,ipad,192.168.239.7,1591
17:02:02,ipad,192.168.239.7,930
17:02:07,ipad,192.168.239.7,1539
17:02:09,ipad,192.168.239.7,2849
17:02:10,ipad,192.168.239.7,1535
17:02:17,ipad,192.168.239.7,1461
17:02:21,ipad,192.168.239.7,1411
17:02:34,ipad,192.168.239.7,3303
17:02:35,ipad,192.168.239.7,3763
17:02:42,ipad,192.168.239.7,2141
17:02:43,ipad,192.168.239.7,1148
17:02:46,ipad,192.168.239.7,3094
17:02:48,ipad,192.168.239.7,354
17:02:49,ipad,192.168.239.7,520
17:02:51,ipad,192.168.239.7,431
17:02:52,ipad,192.168.239.7,646
17:02:55,ipad,192.168.239.7,2952
17:02:57,ipad,192.168.239.7,646
17:03:01,ipad,192.168.239.7,3369
17:03:12,ipad,192.168.239.7,2907
17:03:18,ipad,192.168.239.7,3575
17:03:23,ipad,192.168.239.7,1218
17:03:27,ipad,192.168.239.7,2312
17:03:34,ipad,192.168.239.7,2743
17:03:36,ipad,192.168.239.7,1955
17:03:37,ipad,192.168.239.7,3034
17:03:38,ipad,192.168.239.7,572
17:03:44,ipad,192.168.239.7,2341
17:03:46,ipad,192.168.239.7,3842
17:03:47,ipad,192.168.239.7,2392
17:03:51,ipad,192.168.239.7,1623
