"No.","Time","Source","Destination","Protocol","Length","Data rate (Mb/s)","Info","Bandwidth"
"1","0.000000","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=0, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"2","0.101427","00:00:00_00:00:05","00:00:00_00:00:03","802.11","49","","Association Request, SN=0, FN=0, Flags=........, SSID=""ns-3-WiFi""","49"
"3","0.102713","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"4","0.102963","00:00:00_00:00:05","00:00:00_00:00:03","802.11","49","","Association Request, SN=0, FN=0, Flags=....R..., SSID=""ns-3-WiFi""","49"
"5","0.103861","","00:00:00_00:00:05 (00:00:00:00:00:05) (RA)","802.11","14","","Acknowledgement, Flags=........","14"
"6","0.104423","00:00:00_00:00:03","00:00:00_00:00:05","802.11","40","","Association Response, SN=2, FN=0, Flags=........, SSID=Wildcard (Broadcast)","40"
"7","0.104433","","00:00:00_00:00:03 (00:00:00:00:00:03) (RA)","802.11","14","","Acknowledgement, Flags=........","14"
"8","0.105871","00:00:00_00:00:02","00:00:00_00:00:03","802.11","49","","Association Request, SN=0, FN=0, Flags=....R..., SSID=""ns-3-WiFi""","49"
"9","0.106185","","00:00:00_00:00:02 (00:00:00:00:00:02) (RA)","802.11","14","","Acknowledgement, Flags=........","14"
"10","0.106747","00:00:00_00:00:03","00:00:00_00:00:02","802.11","40","","Association Response, SN=3, FN=0, Flags=........, SSID=Wildcard (Broadcast)","40"
"11","0.107061","","00:00:00_00:00:03 (00:00:00:00:00:03) (RA)","802.11","14","","Acknowledgement, Flags=........","14"
"12","0.107875","00:00:00_00:00:01","00:00:00_00:00:03","802.11","49","","Association Request, SN=0, FN=0, Flags=....R..., SSID=""ns-3-WiFi""","49"
"13","0.108189","","00:00:00_00:00:01 (00:00:00:00:00:01) (RA)","802.11","14","","Acknowledgement, Flags=........","14"
"14","0.108751","00:00:00_00:00:03","00:00:00_00:00:01","802.11","40","","Association Response, SN=4, FN=0, Flags=........, SSID=Wildcard (Broadcast)","40"
"15","0.109065","","00:00:00_00:00:03 (00:00:00:00:00:03) (RA)","802.11","14","","Acknowledgement, Flags=........","14"
"16","0.109799","00:00:00_00:00:04","00:00:00_00:00:03","802.11","49","","Association Request, SN=0, FN=0, Flags=....R..., SSID=""ns-3-WiFi""","49"
"17","0.110113","","00:00:00_00:00:04 (00:00:00:00:00:04) (RA)","802.11","14","","Acknowledgement, Flags=........","14"
"18","0.110835","00:00:00_00:00:03","00:00:00_00:00:04","802.11","40","","Association Response, SN=5, FN=0, Flags=........, SSID=Wildcard (Broadcast)","40"
"19","0.111149","","00:00:00_00:00:03 (00:00:00:00:00:03) (RA)","802.11","14","","Acknowledgement, Flags=........","14"
"20","0.204800","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=6, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"21","0.307200","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=7, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"22","0.409600","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=8, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"23","0.512000","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=9, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"24","0.614400","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=10, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"25","0.716800","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=11, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"26","0.819200","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=12, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"27","0.921600","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=13, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"28","0.982427","00:00:00_00:00:05","Broadcast","ARP","64","","Who has 192.168.239.1? Tell 192.168.239.5","64"
"29","0.982971","","00:00:00_00:00:05 (00:00:00:00:00:05) (RA)","802.11","14","","Acknowledgement, Flags=........","14"
"30","0.983725","00:00:00_00:00:05","Broadcast","ARP","64","","Who has 192.168.239.1? Tell 192.168.239.5","64"
